Position,Position Rank,Player,Team,Bye Week,Projected Points,Roster Status,FantasySharks PID,Player Page
DEF,17,Chicago Bears,,10,96,Available,0521,https://www.fantasysharks.com/players/playerpage.php?PID=0521
DEF,18,Tennessee Titans,,9,92,Other Roster,0508,https://www.fantasysharks.com/players/playerpage.php?PID=0508
DEF,19,Carolina Panthers,,5,92,Available,0527,https://www.fantasysharks.com/players/playerpage.php?PID=0527
DEF,20,New York Giants,,8,91,Available,0517,https://www.fantasysharks.com/players/playerpage.php?PID=0517
DEF,21,Atlanta Falcons,,11,91,Available,0526,https://www.fantasysharks.com/players/playerpage.php?PID=0526
DEF,22,Cincinnati Bengals,,6,91,Available,0506,https://www.fantasysharks.com/players/playerpage.php?PID=0506
DEF,23,Tampa Bay Buccaneers,,10,84,My Team,0525,https://www.fantasysharks.com/players/playerpage.php?PID=0525
DEF,24,Miami Dolphins,,6,83,Available,0503,https://www.fantasysharks.com/players/playerpage.php?PID=0503
DEF,25,Green Bay Packers,,11,82,Other Roster,0523,https://www.fantasysharks.com/players/playerpage.php?PID=0523
DEF,26,Indianapolis Colts,,13,81,Other Roster,0502,https://www.fantasysharks.com/players/playerpage.php?PID=0502
DEF,27,Arizona Cardinals,,14,76,Available,0519,https://www.fantasysharks.com/players/playerpage.php?PID=0519
DEF,28,Las Vegas Raiders,,13,75,Available,0513,https://www.fantasysharks.com/players/playerpage.php?PID=0513
DEF,29,Washington Commanders,,7,72,Available,0520,https://www.fantasysharks.com/players/playerpage.php?PID=0520
DEF,30,Dallas Cowboys,,14,66,Other Roster,0516,https://www.fantasysharks.com/players/playerpage.php?PID=0516
DEF,31,New York Jets,,13,64,Available,0505,https://www.fantasysharks.com/players/playerpage.php?PID=0505
DEF,32,San Francisco 49ers,,8,58,Other Roster,0530,https://www.fantasysharks.com/players/playerpage.php?PID=0530
