"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"211",12,"Pat Freiermuth",PIT,"TE31","27","182","255","205.6","20.8","+39"
"212",12,"Mason Taylor",NYJ,"TE32","22","186","243","205.6","15.2","-36"
"213",12,"Kimani Vidal",LAC,"RB60","25","202","290","227.0","21.0","-4"
"214",12,"Darnell Mooney",NYG,"WR91","28","175","236","211.6","20.6","+70"
"215",12,"Kyle Williams",NE,"WR92","23","174","351","227.4","43.1","+68"
"216",12,"Keon Coleman",BUF,"WR93","23","190","344","232.4","38.2","-4"
"217",12,"Rashod Bateman",BAL,"WR94","26","173","240","217.3","23.3","+51"
"218",12,"Chris Brazzell II",CAR,"WR95","22","153","312","201.4","47.8","+20"
"219",12,"Demond Claiborne",MIN,"RB61","22","174","287","235.4","38.8","+10"
"220",12,"Malik Washington",MIA,"WR96","25","175","277","224.3","32.8","-14"
"221",12,"Greg Dulcich",MIA,"TE33","26","143","260","188.2","33.5","-"
"222",12,"Tank Dell",HOU,"WR97","26","180","307","227.2","39.2","-52"
"223",12,"Cyrus Allen",KC,"WR98","23","169","272","213.5","28.9","-28"
"224",12,"Eli Raridon",NE,"TE34","22","149","343","214.0","59.7","+35"
"225",12,"MarShawn Lloyd",GB,"RB62","25","169","322","231.6","48.9","0"
"226",12,"Ray Davis",BUF,"RB63","26","204","291","246.8","24.7","+14"
"227",12,"Ollie Gordon II",MIA,"RB64","22","222","301","247.1","28.6","+10"
"228",12,"Aaron Rodgers",PIT,"QB32","42","169","270","233.2","31.8","-"
"229",12,"Denver Broncos",DEN,"DST1","-","225","248","233.3","6.4","-44"
"230",12,"Marvin Mims Jr.",DEN,"WR99","24","214","350","247.9","33.6","-"
"231",12,"Tyreek Hill",FA,"WR100","32","209","276","235.2","20.8","-11"
"232",12,"Oscar Delp",NO,"TE35","23","123","376","220.2","68.8","+40"
"233",12,"Geno Smith",NYJ,"QB33","35","179","298","238.0","30.6","-"
"234",12,"J.J. McCarthy",MIN,"QB34","23","191","256","224.2","20.8","-"
"235",12,"Sean Tucker",TB,"RB65","24","207","310","253.7","32.7","+11"
"236",12,"Houston Texans",HOU,"DST2","-","228","310","240.7","22.7","-53"
"237",12,"Jacoby Brissett",ARI,"QB35","33","150","314","226.4","42.6","-"
"238",12,"Jaylen Wright",MIA,"RB66","23","222","319","255.8","32.0","+1"
"239",12,"Brandon Aubrey",DAL,"K1","31","206","249","242.7","12.0","-59"
"240",12,"Philadelphia Eagles",PHI,"DST3","-","228","252","243.3","7.6","-53"
"241",12,"Christian Kirk",SF,"WR101","29","211","343","243.6","35.2","-"
"242",12,"Caleb Douglas",MIA,"WR102","22","170","270","210.9","31.7","-19"
"243",12,"Bryce Lance",NO,"WR103","24","148","268","211.1","36.0","-"
"244",12,"Los Angeles Rams",LAR,"DST4","-","232","301","248.0","18.3","-63"
"245",12,"James Conner",ARI,"RB67","31","217","363","261.1","42.6","-29"
"246",12,"Cam Little",JAC,"K2","23","243","253","248.6","3.1","-60"
"247",12,"Seattle Seahawks",SEA,"DST5","-","231","305","249.4","20.7","-65"
"248",12,"Emanuel Wilson",SEA,"RB68","27","191","305","262.3","42.0","+3"
"249",12,"Keenan Allen",IND,"WR104","34","173","370","251.4","47.7","+6"
"250",13,"Kaelon Black",SF,"RB69","24","191","325","253.1","45.2","-51"
"251",13,"Cameron Dicker",LAC,"K3","26","245","281","253.2","9.4","-67"
"252",13,"Theo Johnson",NYG,"TE36","25","195","305","238.6","37.1","0"
"253",13,"Kaleb Johnson",PIT,"RB70","23","197","339","266.8","47.0","-43"
"254",13,"Michael Mayer",LV,"TE37","25","207","269","226.4","18.0","+32"
"255",13,"Cooper Kupp",SEA,"WR105","33","201","372","261.7","43.2","+7"
"256",13,"Mac Jones",SF,"QB36","28","166","269","211.0","32.4","-"
"257",13,"Adam Randall",BAL,"RB71","22","200","331","268.4","48.8","-22"
"258",13,"Minnesota Vikings",MIN,"DST6","-","239","302","268.7","18.3","-61"
"259",13,"Ka'imi Fairbairn",HOU,"K4","32","247","309","269.9","20.3","-71"
"260",13,"Devin Neal",NO,"RB72","23","222","357","281.3","48.5","+22"
"261",13,"Elijah Arroyo",SEA,"TE38","23","189","347","221.8","49.0","+19"
"262",13,"Evan Engram",DEN,"TE39","32","199","319","261.7","51.1","-"
"263",13,"Xavier Legette",CAR,"WR106","25","239","360","275.0","36.0","+10"
"264",13,"Pittsburgh Steelers",PIT,"DST7","-","244","318","275.0","22.9","-72"
"265",13,"Jaydon Blue",DAL,"RB73","22","227","336","286.6","33.5","-33"
"266",13,"Jordan James",SF,"RB74","22","218","359","287.8","34.5","+5"
"267",13,"Brandon Aiyuk",SF,"WR107","28","192","357","251.3","51.3","-50"
"268",13,"Isaiah Davis",NYJ,"RB75","24","226","343","288.8","33.9","-"
"269",13,"Deshaun Watson",CLE,"QB37","30","204","272","251.6","21.1","-"
"270",13,"Chris Boswell",PIT,"K5","35","252","318","280.9","18.5","-51"
"271",13,"Devaughn Vele",NO,"WR108","28","240","361","269.4","33.3","-"
"272",13,"Will Reichard",MIN,"K6","25","242","302","270.8","21.8","-50"
"273",13,"Jason Myers",SEA,"K7","35","246","307","273.1","19.2","-84"
"274",13,"Justin Joly",DEN,"TE40","22","189","298","243.3","37.7","-"
"275",13,"Kirk Cousins",LV,"QB38","38","222","325","261.3","26.7","-"
"276",13,"Jacksonville Jaguars",JAC,"DST8","-","253","330","288.2","25.7","-48"
"277",13,"Trey Benson",ARI,"RB76","24","200","346","298.2","39.6","-111"
"278",13,"Brenen Thompson",LAC,"WR109","23","224","292","247.0","22.4","-29"
"279",13,"Kansas City Chiefs",KC,"DST9","-","233","330","289.3","30.5","-"
"280",13,"Green Bay Packers",GB,"DST10","-","255","350","290.3","30.1","-24"
"281",13,"Chase McLaughlin",TB,"K8","30","263","314","290.4","15.8","-14"
"282",13,"Evan McPherson",CIN,"K9","27","260","321","291.6","20.3","-88"
"283",13,"Wil Lutz",DEN,"K10","32","270","339","291.6","18.5","-"
"284",13,"Anthony Richardson Sr.",IND,"QB39","24","167","256","207.3","32.1","-"
"285",13,"New England Patriots",NE,"DST11","-","262","317","284.9","17.0","-95"
"286",13,"Harrison Butker",KC,"K11","31","244","353","286.5","30.0","-65"
"287",13,"Hollywood Brown",PHI,"WR110","29","238","399","288.1","51.0","-"
"288",13,"Tyler Loop",BAL,"K12","25","260","326","288.3","21.9","-31"
"289",13,"Jake Bates",DET,"K13","27","267","342","299.6","25.1","-98"
"290",13,"Baltimore Ravens",BAL,"DST12","-","276","355","300.6","24.2","-94"
"291",13,"Brashard Smith",KC,"RB77","23","225","365","309.9","39.8","-"
"292",13,"DJ Giddens",IND,"RB78","23","219","369","306.4","39.7","-16"
"293",14,"Kevin Coleman Jr.",MIA,"WR111","22","194","372","254.7","59.5","-12"
"294",14,"Carson Beck",ARI,"QB40","23","242","269","255.9","8.6","-61"
"295",14,"Colby Parkinson",LAR,"TE41","27","189","311","256.1","45.6","-"
"296",14,"Isaiah Bond",CLE,"WR112","22","242","370","300.9","47.1","-19"
"297",14,"Tez Johnson",TB,"WR113","24","227","355","277.9","40.0","-"
